architecture,field,restarts,converged_count,convergence_fraction,fidelity_best,fidelity_median,fidelity_worst,zz_long_range_mae_best,zz_long_range_mae_median,zz_long_range_mae_worst,eta_sum_best,eta_sum_median,eta_sum_worst,joint_failure_best,joint_failure_median,joint_failure_worst
MERA_PM225,0.9,20,0,0.0,0.9935777859387741,0.9891177278775012,0.9786452790818594,0.006789259954347496,0.009609631528255743,0.07214502118639032,0.010864548310551506,0.017603452162725953,0.034405822560918176,0.006422214061225118,0.010882272122499648,0.021354720918140835
MERA_PM225,1.0,20,0,0.0,0.9940832717103849,0.9931669959982012,0.9834905606424266,0.009462770042103219,0.02173433255361153,0.03362776311640502,0.008891204866224708,0.010189082004033023,0.030851258836104085,0.005916728289615425,0.006833004001798593,0.01650943935757332
MERA_PM225,1.1,20,0,0.0,0.9986729040648975,0.9975204989625543,0.9972110108670756,0.0050659939259824985,0.008952416556119731,0.012896644746156496,0.002513328042637111,0.00428107705520408,0.00470842164024945,0.0013270959351022737,0.002479501037445375,0.0027889891329244687
MPS,0.9,20,0,0.0,0.9796799584139585,0.9796754727516979,0.979639065111808,0.08548382758283407,0.08569782805856556,0.08587018871396047,0.03354971781466386,0.03360028522270334,0.03411925332311609,0.02032004158604117,0.020324527248303248,0.020360934888191462
MPS,1.0,20,0,0.0,0.9884761881940713,0.9884661672676369,0.9884279100439393,0.06081314547962426,0.06110107722508294,0.06148374242450953,0.01931428546572583,0.019501524408295674,0.020345036253267612,0.011523811805928097,0.01153383273236297,0.01157208995606096
MPS,1.1,20,0,0.0,0.994567618568961,0.9945599652403461,0.9945490064147385,0.03064736241300977,0.030709470178448484,0.030795654124656756,0.009617956933393488,0.009932697256513983,0.010299138518307495,0.005432381431038524,0.0054400347596548215,0.0054509935852613545
