architecture,field,count,fidelity_mean,fidelity_se,zz_long_range_mae_mean,zz_long_range_mae_se,energy_density_error_mean,half_chain_entropy_error_mean,physical_su4_blocks,su4_shot_gate_exposure
LOCAL_LC225,0.9,10,0.5705623488303682,0.006079123903779195,0.3015854225412645,4.880446816380431e-06,0.06469344747146391,0.41188702393473353,68,38080000000
LOCAL_LC225,1.0,10,0.7402810373302787,0.0061438056742918285,0.13493717513533526,5.585263732758455e-06,0.04925412874926436,0.23389451506346534,68,38080000000
LOCAL_LC225,1.1,10,0.8365629695378736,0.004445059324935015,0.05539289785460777,7.24701993374891e-06,0.03696425834460848,0.16078266825764936,68,38080000000
MERA_PM225,0.9,10,0.9583538164132754,0.002013019483397486,0.07447965065922074,0.012427121951936985,0.008454809496108417,0.02152074557731356,26,14560000000
MERA_PM225,1.0,10,0.9689321826503539,0.004418245058142639,0.06252986766111317,0.007311515290655375,0.006608781580258971,0.010421246443875909,26,14560000000
MERA_PM225,1.1,10,0.9753912934479843,0.004029966139823109,0.037439149090722885,0.003940694543241511,0.0053192162988137115,0.016898401840428227,26,14560000000
